                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.57497,                0.56076,                0.88015,                      1,                0.80539,                0.88049,                0.77853,                0.64756,                0.83478,                 1.0325,              0.0010826,              0.0010826,              0.0010826
                    142,                0.53407,                0.56172,                0.87128,                 0.9182,                0.80952,                0.87527,                0.75511,                0.64849,                0.80933,                 1.0235,               0.001076,               0.001076,               0.001076
                    143,                0.54683,                0.48941,                0.89514,                0.94707,                0.85224,                0.85349,                0.76151,                0.60765,                0.77815,                 1.0026,              0.0010694,              0.0010694,              0.0010694
                    144,                0.58013,                0.54526,                0.90283,                0.94735,                0.85679,                0.86872,                0.78162,                0.58522,                 0.7335,                0.97498,              0.0010628,              0.0010628,              0.0010628
                    145,                0.47999,                0.49071,                0.83754,                0.94735,                0.85679,                0.86872,                0.78162,                0.58522,                 0.7335,                0.97498,              0.0010562,              0.0010562,              0.0010562
                    146,                0.52479,                0.51169,                0.93204,                      1,                0.84473,                0.88267,                0.76162,                0.60973,                0.70269,                 0.9651,              0.0010496,              0.0010496,              0.0010496
                    147,                0.53646,                0.54405,                0.93005,                 0.9942,                0.85714,                0.89128,                0.76241,                0.62788,                0.70704,                0.97009,               0.001043,               0.001043,               0.001043
                    148,                0.60136,                0.52014,                0.88991,                      1,                0.84823,                0.90882,                0.77869,                 0.5992,                0.70994,                  0.963,              0.0010364,              0.0010364,              0.0010364
                    149,                0.49914,                0.49186,                 0.8733,                      1,                0.84823,                0.90882,                0.77869,                 0.5992,                0.70994,                  0.963,              0.0010298,              0.0010298,              0.0010298
                    150,                0.53698,                0.50456,                0.88039,                0.94624,                0.85714,                0.90613,                0.78152,                0.60701,                 0.7288,                 0.9705,              0.0010232,              0.0010232,              0.0010232
                    151,                0.56766,                0.50653,                0.90151,                 0.9488,                0.88299,                0.90847,                0.76591,                0.60012,                0.74335,                0.97737,              0.0010166,              0.0010166,              0.0010166
